"rowkey","occurrenceID","eventID","catalogNumber","collectionCode","dcterms:type","dcterms:license processed","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","dcterms:references","taxonID","scientificName processed","scientificNameAuthorship","nomenclaturalStatus","taxonRemarks","identificationRemarks","identifiedBy processed","identificationVerificationStatus","identificationVerificationStatus processed","kingdom","phylum processed","class processed","order processed","family processed","genus processed","specificEpithet","infraspecificEpithet","eventDate processed","eventTime","verbatimEventDate","day processed","month processed","year processed","eventDateEnd processed","endDay processed","endMonth processed","endYear processed","locationID","higherGeographyID","higherGeography","islandGroup","island","countryCode","county","gridreference","verbatimLocality","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","georeferenceVerificationStatus processed","georeferenceRemarks","geologicalContextID","basisOfRecord processed","occurrenceStatus processed","occurrenceRemarks","vitality","dynamicProperties","recordNumber","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","behavior","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","samplingEffort","sampleSizeUnit","measurementDeterminedDate","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","relationshipOfResource","measurementMethod","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","collectionID","datasetID","institutionCode","fieldNotes","eventRemarks","datasetName","ownerInstitutionCode","otherCatalogNumbers","materialSampleID","decimalLatitude processed","decimalLongitude processed","Coordinate uncertainty - processed"
"d5255f01-8fbe-4272-bca1-e0bae31f75a9","82009920",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2011-11-22",,,"22","11","2011",,,,,,,,,,,,"SD37",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.166665","-2.99708","7071.1"
"d6b3ea36-a54a-4a34-8408-2a8ac531975e","99246983",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2014-03-19",,,"19","03","2014",,,,,,,,,,,,"SD39",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.346383","-3.001427","7071.1"
"d72d0213-02d6-480a-998c-715700150988","109212450",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2017-06-17",,,"17","06","2017",,,,,,,,,,,,"SD49",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.347561","-2.847613","7071.1"
"d8b371c1-d2f6-44b5-9887-052f63c8a200","63067404",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2009-08-30",,,"30","08","2009",,,,,,,,,,,,"NY64",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.79865","-2.545932","7071.1"
"d8d242f4-cd7a-494f-b725-85cd02b7549c","54669964",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2008-05-20",,,"20","05","2008",,,,,,,,,,,,"NY65",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.88851","-2.547147","7071.1"
"d9cb9b59-0d6b-4f46-b19a-d18043869153","89421917",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2011-12-04",,,"04","12","2011",,,,,,,,,,,,"SD37",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.166665","-2.99708","7071.1"
"da12d77f-7a57-4c61-8bad-45de6f840af7","85212331",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2014-03-10",,,"10","03","2014",,,,,,,,,,,,"SD39",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.346383","-3.001427","7071.1"
"da46583d-71c0-4299-8794-249e83e664e6","80608759",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2012-06-09",,,"09","06","2012",,,,,,,,,,,,"NY14",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.792659","-3.323494","7071.1"
"da5a5ec4-a67d-4806-b546-c6464768205b","109002652",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2017-04-20",,,"20","04","2017",,,,,,,,,,,,"SD48",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.257699","-2.845768","7071.1"
"daa85553-aa6c-4161-b0a9-b9f9e4b57256","56505338",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2006-02-17",,,"17","02","2006",,,,,,,,,,,,"SD68",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.259463","-2.538781","7071.1"
